type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
W,2018-08-01 09:38:05,12.99313821,77.66350361,12,945.645,-86.349,0.000,,9,36,,Test
T,2018-08-01 09:46:37,12.99313038,77.66357121,3,952.335,-86.349,0.000,,17,35,20180801-150805,GPS Logger: 20180801-150805
T,2018-08-01 09:46:38,12.99313044,77.66357570,3,952.137,-86.349,0.000,,17,35,,
T,2018-08-01 09:46:39,12.99313229,77.66357856,3,952.316,-86.349,0.000,,17,35,,
T,2018-08-01 09:46:40,12.99313317,77.66358006,3,953.374,-86.349,0.000,,16,35,,
T,2018-08-01 09:46:41,12.99313230,77.66357918,3,953.499,-86.349,0.000,,17,35,,
T,2018-08-01 09:46:42,12.99313114,77.66357897,3,954.148,-86.349,0.000,,17,35,,
T,2018-08-01 09:46:43,12.99313089,77.66357883,3,954.074,-86.349,0.000,,19,35,,
T,2018-08-01 09:46:44,12.99313239,77.66357876,3,953.949,-86.349,0.000,,19,35,,
T,2018-08-01 09:46:45,12.99313410,77.66357918,3,954.073,-86.349,0.000,,19,35,,
T,2018-08-01 09:46:46,12.99313462,77.66357938,3,953.851,-86.349,0.000,,19,35,,
T,2018-08-01 09:46:47,12.99313542,77.66357991,3,954.001,-86.349,0.000,,19,35,,
T,2018-08-01 09:46:48,12.99313537,77.66358002,3,953.962,-86.349,0.000,,19,35,,
T,2018-08-01 09:46:49,12.99313521,77.66358004,3,953.923,-86.349,0.000,,19,35,,
T,2018-08-01 09:46:50,12.99314313,77.66359064,3,954.539,-86.349,0.880,341,18,35,,
T,2018-08-01 09:46:51,12.99314793,77.66360119,3,953.699,-86.349,1.060,340,18,36,,
T,2018-08-01 09:46:52,12.99314647,77.66361212,3,954.267,-86.349,0.750,119,20,36,,
T,2018-08-01 09:46:53,12.99314314,77.66363051,3,953.025,-86.349,1.120,83,20,36,,
T,2018-08-01 09:46:54,12.99314332,77.66365141,3,952.681,-86.349,1.270,83,20,36,,
T,2018-08-01 09:46:56,12.99314706,77.66368383,3,952.025,-86.349,0.160,84,12,22,,
T,2018-08-01 09:46:57,12.99314671,77.66369190,3,951.861,-86.349,1.070,93,11,21,,
T,2018-08-01 09:46:58,12.99314778,77.66370312,3,949.871,-86.349,0.910,93,11,21,,
T,2018-08-01 09:46:59,12.99314874,77.66371473,3,948.562,-86.349,0.760,94,11,22,,
T,2018-08-01 09:47:00,12.99314941,77.66372664,3,947.323,-86.349,0.820,94,10,22,,
T,2018-08-01 09:47:01,12.99314950,77.66374319,3,945.633,-86.349,1.510,88,10,22,,
